04/21/2026 03:54:04	MW	44722.1	karkāra	Placement Error	The supplemental insertion of this Headword should be placed just before the word "karkāru m. [ID=44745]" in the Hierarchical listing of words. This is simply according to the proper alphabetical placement, since their appears to be no other overriding factor.	Placement Error	srhodes@snowcrest.net:Corrected 25 Apr 2026
04/21/2026 04:01:42	MW	44715	karkarāndhaka	over grown	overgrown	Typo – Please note that this should be written as a ONE WORD. However, currently in the Window Display the placement occurs at a line break. So the Correction must be made taking all factors into account. If the "line break" is absolutely necessary in the middle of this word, then we are stuck with a "Hyphen", which I would rather not mention or employ!	srhodes@snowcrest.net:Corrected 25 Apr 2026
04/21/2026 04:08:00	SHS	9244	karkareṭa	half moon	half-moon	Typo – Perhaps it is better written this way. (Sorry for mentioning).	srhodes@snowcrest.net:No chnage required
04/21/2026 04:17:26	SHS	9250	karkasāra	Flour of meal	Flour or meal	Typo – Please note that this is a suggested "Print Change". MW agress. And furthermore, the word "meal" already is defined as: "any grain or pulse ground to powder, such as cornmeal". Therefore Flour and Meal are just SLIGHT variations of each other, and NOT to be related in the genetive case, for some other purpose.	srhodes@snowcrest.net:Corrected 25 Apr 2026
04/21/2026 11:27:37	AP	11386	kadambaḥ	kadambabrahmamaṇḍalam	kadambabhramamaṇḍalam	Typo – Please note that this is a "Print Change", as confirmed by our Great Andhrabharati here: https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4287018625	srhodes@snowcrest.net:Corrected 25 Apr 2026
04/21/2026 11:28:56	AP	11386.028	kadambabrahmamaṇḍalam	kadambabrahmamaṇḍalam	kadambabhramamaṇḍalam	Typo – Please note that this is a "Print Change", as confirmed by our Great Andhrabharati here: https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4287018625 LB OF COURSE, the portion "-brahmamaṇḍalam ", must be corrected as well.	srhodes@snowcrest.net:Corrected 25 Apr 2026
04/21/2026 11:41:10	AP	11366	kathantā	Mbh. 2. 39 .	Yogas. 2. 39 .	Typo – Please note that this is a "Print Change", as confirmed by our Great Andhrabharati here:https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4287103659	srhodes@snowcrest.net:Corrected 25 Apr 2026
04/21/2026 12:09:49	AP	11984.002	kāraḥ	kāraḥ	kāpyakāraḥ	Typo – Headword Typo!   ALSO and Very Important – Please note that the Following Headword Listing, is Precisely the SAME Spelling, and likely to be Directly Related: "kāpyakāraḥ Avowal or confession of sin [ID=11985]". Therefore, Some Sort of "Merging" or "Consolidation" of Headwords and Meanings may be in Order?	srhodes@snowcrest.net:Corrected to kApyakAraH. Did not merge.
04/21/2026 12:16:12	AP	11985	kāpyakāraḥ	See Below	Please note that the Previous Headword Listing, is Precisely the SAME Spelling, and likely to be Directly Related: "kāpyakāraḥ A penitent.                  [ID=11984.002]". Therefore, Some Sort of "Merging" or "Consolidation" of Headwords and Meanings may be in Order? OTHERWISE, we are stuck with TWO Identical Headwords Being Separately Listed. If such is the case, then when a user "Searches" for this particular word, ONLY ONE Version would be shown from the initial Search; and then the user would have to Click Again on the Second Headword Listing, in order to discover All Meanings Available to this (currently) Dual Headword: "kāpyakāraḥ".	See Above	srhodes@snowcrest.net:No change required
04/21/2026 12:29:18	AP	11989	kāmaḥ	magyāveśitadhiyāṃ	mayyāveśitadhiyāṃ	Typo	srhodes@snowcrest.net:Corrected 25 Apr 2026
04/21/2026 12:38:20	AP	11989.02	kāmāgniḥ	Missing Headword	Please note that by Further Compounding, the Headword "kāmāgnisaṃdīpanam" is listed here by the abbreviation: "˚saṃdīpanam". Therefore this Additional Compound, should be listed as an Additional Headword in the Hierarchy Display Column, so as to be "Searchable" by the user. Of Course the related TWO definitions must accompany this Newly Listed Headword, which of course will receive an addition Indentation in the Hierarchy List Display beneath the pūrvapada: "kāmāgni".	Missing Headword	srhodes@snowcrest.net:Corrected 25 Apr 2026
04/21/2026 18:47:28	SHS	8609	kaṭin	Mattered	Matted	Typo – Please note that this is a "Print Change", as confirmed by our Great Andhrabharati here: https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4289881347	srhodes@snowcrest.net:Corrected 25 Apr 2026
04/21/2026 23:24:50	AP	11231	kaṭukatā	kaṭukatā	kaṭuṃkatā	Typo – Headword Typo !  Please note that this is a "Print Change", as confirmed by our Great Andhrabharati here: https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4290505322	srhodes@snowcrest.net:Corrected 25 Apr 2206
