07/01/2026 02:21:58	MW	197397	vinyasana	pada-vinyasaṇam-√kṛ	pada-vinyasanam √kṛ	Typo – Please note that this correction follows the printed text.	srhodes@snowcrest.net
07/01/2026 04:36:30							
07/01/2026 04:36:55	SHS	10106	kārtsna	(-trsnaṃ)	(-rtsnaṃ)	Typo	srhodes@snowcrest.net
07/01/2026 04:37:41	SHS	10106	kārtsna	(-trsnaṃ)	(-rtsnam)	Typo – UPDATED! Better with the solid letter "m" as it is final with nothing following.	srhodes@snowcrest.net
07/01/2026 04:38:39	SHS	10107	kārtsnya	(-trsnyaṃ)	(-rtsnyam)	Typo – Better with the solid letter "m" as it is final with nothing following.	srhodes@snowcrest.net
07/01/2026 04:53:03	SHS	10122	kāryya	denouncement	denouement	Typo – The Likely Intended Word: Denouement (derived from the French dénouement, meaning "untying" or "unraveling"). In literary and dramatic theory, this refers to the final part of a play or story where the plot strands are resolved. LB The Dictionary Entry: The dictionary you are using lists "denouncement," which traditionally means the act of condemning or informing against someone (a public censure). While "denouncement" is a valid English word, it makes no sense in the context of dramatic structure.	srhodes@snowcrest.net
07/01/2026 04:55:07	SHS	10122	kāryya	substitude	substitute	Typo – Given that the context is a grammatical definition regarding an "adjunct, either as an affix, augment, or [replacement]," the intended term is unambiguously substitute.	srhodes@snowcrest.net
07/01/2026 04:57:10	SHS	10122	kāryya	Law-suit	Lawsuit	Typo – In modern English usage, "lawsuit" is overwhelmingly the standard, preferred form. LB The version you see on the page—"Law-suit"—with a hyphen, is an older orthographic convention. In the late 19th and early 20th centuries, it was very common to hyphenate compound words that are now almost universally written as single, closed compounds. Therefore, Please make this A Global Correction!	srhodes@snowcrest.net
07/01/2026 06:57:37	SHS	44893	sūpat	Excellently well.	Excellently, well.	Typo – Please note that this is a "print change". The Great Andhrabharati has confirmed this correction here: https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4850064837	srhodes@snowcrest.net
07/01/2026 11:59:36	WIL	10771	kupata	Excellently.	Excellently; [insert this minor editorial addition]: "(wrong reading for kūpat)".	Typo – This very important editorial addition has been confirmed by the authority of Andhrabharati here: https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4850457020	srhodes@snowcrest.net
07/01/2026 13:02:12	AP	12503	kupyam	kośaṃśca	kośaśca	Typo – Please note that this correction follows the printed page. The "ṃ" is simply an erroneous speck in the printing.	srhodes@snowcrest.net
07/01/2026 17:26:12	AP	12482	kuntr	kuntr	kundr	Typo – Please note that this is a Headword "print change". The Great Andhrabharati has confirmed this correction here: https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4855652286. Also, once the print change is made there is the issue of correct "Alphabetical Placement". Andhrabharati has suggested as follows: "a relocation to L-12488.1, i. e. after L-12488".	srhodes@snowcrest.net
07/01/2026 18:08:04	AP	12503	kupyam	ratnānnapānakupyānāmāṭaturnaṣṭasaṃsmatī . Bk. 6. 59.	ratnānnapānakupyānāmāṭaturnaṣṭasaṃsmṛtī . Bk. 6. 58.	Typo – Please note that this is a Double "print change".  The concluding portion "saṃsmṛtī", should be obvious. And, the citation correction has been confirmed by Andhrabharati here: https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4857139851	srhodes@snowcrest.net
